description,title,image,brand,price,asin
"['Mae Ploy Thai green curry paste.', 'Ingredients green chile, garlic, shallot, lemongrass, salt, galanga, shrimp paste, kaffir lime peel, coriander seed, pepper, cumin, turmeric.', 'Actual product packaging and materials may contain more and different information than what is shown on our website. We recommend that you do not rely solely on the information presented and that you always read labels, warnings, and directions before using or consuming a product. Please see our full disclaimer below.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Mae Ploy Green Curry Paste, 14 oz","['https://images-na.ssl-images-amazon.com/images/I/51BCCbZkxlL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31K%2Bt3f%2BfBL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Y16K-ExIL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31UTLgyXOPL._SS40_.jpg']",Mae Ploy,25.203335254139688,9742356831
"['<b>Wrigleys Orbit Brand Chewing Gum:</b></br> Get that just brushed clean feeling when youre on the go with Orbit sugar-free gum.</br> Spearmint FlavorGet that just brushed clean feeling anytime, anywhere, with Orbit Spearmint Gum.', '<b>Ingredients</b><br> Malitol, Sorbitol, Gum Base, Sodium Polyphosphate, Acacia, Glycerol, Natural & Artificial Flavors, Mannitol, Aspartame, Color Added, Acesulfame K, Carnauba Wax, BHA (to maintain freshness), Phenylketonurics: Contains Phenylalanine.', '<b>Nutrition Facts</b><br> <br> Serving size, 1 piece (1.93g).', '(Amount per serving is followed by % of daily value)<br> Calories: 5<br> Calories from Fat: 0<br> Total Fat: 0.0%<br> Sodium: 0.0%<br> Total Carbohydrate: 1 g, 1%<br> Sugar Alcohol: 1 g, 0%<br> Protein: 0.0%<br>', 'Phenylketonurics: Contains Phenylalanine.', 'Sorbitol, Gum Base, Glycerol, Mannitol, Natural and Artificial Flavors, Xylitol, Aspartame, Acesulfame K, Lecithin, Blue 1 Lake, Bht (to Maintain Freshness), Color Added. Phenylketonurics: Contains Phenylalanine', 'Remove product from packaging', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Orbit Spearmint Sugarfree Gum, 14 Pieces (12 Pack)","['https://images-na.ssl-images-amazon.com/images/I/51BXHWePMAL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51vq7QMjNaL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51xeqeGxCwL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41r1NP47x8L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415V6Gwa6KL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51mgKhQjv9L._SS40_.jpg']",Orbit Gum,13.08,B00008RCN8
"['You can tint your cake batter and icing almost any shade with this set of 8 Wilton icing colors. The concentrated gel-based formula gives your batter, buttercream or royal icing a beautiful hue without thinning it out, so color away!', 'By']","Wilton Icing Colors, 8-Count Icing Colors","['https://images-na.ssl-images-amazon.com/images/I/514jlvWf8yL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ZZqREGIpL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/410v28WYMJL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51l%2BQ3wRxIL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51QuwEF7XDL._SS40_.jpg']",Wilton,9.47,B0000CFMU7
"['Delight an outdoor cook, large-game hunter, or angler with this savory collection of 3 Original Flavor jerky seasoning packs that makes up to 6 lbs of meat.To use, simply mix the spice and cure packets with lean ground beef, pork, turkey, or other meat, then press into jerky sticks and place on a dehydrator for a great-tasting snack in a matter of hours and at a fraction of the cost of store-bought jerky. Tuck a few packs into hunting bags or camping gear for a thoughtful and tasteful treat fitting for any meat-lover or sportsman.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']",BJ-6 3-Pack Jerky Spice Works,"['https://images-na.ssl-images-amazon.com/images/I/51yW2oaAocL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Fd38ZmFiL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/611yhAcvqOL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41tirLrYRjL._SS40_.jpg']",Nesco American Harvest,9.3,B0000CFPI2
"['Use to prepare various Japanese soups & bases. Includes 3 individual packets.', 'Salt, monosodium glutamate, lactose, sugar, dried bonito powder, disodium inosinate, bonito extract, yeast extract, disodium succinate.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']",Ajinomoto Soup Stock Hondashi,[],Unknown,5.91,B0000CNU0C
"['', 'For those in search of a delicious, fresh, and certified kosher gift for family, friends, or business partners, Davids Cookies Candy Cookie Gift Tin is an exceptional choice. Our cookie gift pack is beautifully packaged in an attractive and reusable tin that is a perfect all-occasion gift idea for anyone with a sweet tooth. The gift tin contains 24 delicious, fresh, soft-baked candy cookies.', 'Our cookies contain no additional preservatives or additives. They are all-natural and baked fresh daily for that genuine homemade taste  just like grandma used to make. Davids Cookies gift tins contain fresh ingredients including creamy butter, and rich chocolate. Unlike other popular cookie gift packs that sit around for weeks prior to purchase, Davids Cookies are fresh-baked and shipped the same day directly via two-day air. This ensures freshness and quality and that recipients receive superior soft-baked cookies theyll love.', 'The packaging is beautifully presented in an artfully decorated, reusable gift tin. Davids Cookies gift pack of freshly baked cookies is a delicious and unique gift idea that your recipient will truly love and appreciate. Due to the perishable nature of this item, orders will only ship Monday, Tuesday, and Wednesday for Wednesday, Thursday, and Friday delivery, respectively. All orders are shipped two-day air the same day theyre baked so that they arrive fresh and delicious.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","David's Cookies - 24 Fresh Baked M&amp;M Candy Cookie Gourmet Gift Basket - Christmas, Holiday &amp; Corporate Food Tin - Idea For Men &amp; Women - Certified Kosher - 2 lb.","['https://images-na.ssl-images-amazon.com/images/I/51X3C40yx%2BL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Bx2LMXa0L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61JpApx2pML._SS40_.jpg']",David's Cookies,25.203335254139688,B0000D916Y
[],"David's Cookies - 24 Fresh Baked Assorted Cookies Gourmet Gift Basket - Christmas, Holiday &amp; Corporate Food Tin - Idea For Men &amp; Women - Certified Kosher - 2lb","['https://images-na.ssl-images-amazon.com/images/I/51Qy2CQ-R1L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51%2BE0Ko5FBL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61BRfV892cL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51AcW34E8dL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41q-%2BFp8JZL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415PnevXpfL._SS40_.jpg']",David's Cookies,38.95,B0000D9169
"['Upgrade your morning snack and afternoon treat with the oh-so-satisfying Butter Pecan Meltaways by Davids Cookies. This delectable snack is made with the finest ingredients of pure creamy butter and large pecan chunks that will certainly satisfy your craving. Enjoy it with your morning coffee or tea or serve it to your friends when they come over for afternoon visits. Giving this box of cookies is a thoughtful idea that is perfect for family, friends, coworkers, or anyone else you care about in your life, especially during the holiday season when everyone is jolly. Let your loved ones taste the scrumptious and sweet goodness of Davids Cookies Butter Pecan Meltaways by sending them right to their doorsteps. With the Butter Pecan Meltaways, you can enjoy a natural, guilt-free dessert that has no preservatives added and tastes just like you baked it at home. Since this box of sweet delight comes with 64 cookies, it is perfect to share with everyone.', 'Contains Nuts', 'wheat, eggs, soy, milk, nuts, trace amounts of peanut and should be avoided by persons with allergies to these foods.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","David's Cookies Butter Pecan Melt Ways, 32 oz.","['https://images-na.ssl-images-amazon.com/images/I/511CwCZckLL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31VDPPfyhTL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51sU-TV7gmL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51OHsXQFI2L._SS40_.jpg']",David's Cookies,21.5,B0000DA0XJ
"['1% of sales benefit organic agriculture related causes. USDA organic. Certified organic by QAI.', 'All information is provided on a per serving basis for the unprepared product. Frontier handles milk and egg products and does not test finished goods for the presence of allergens unless otherwise specified as ""certified"". 11/11/2011', 'Purified water, organic alcohol, glycerin, natural bitter almond oil.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Simply Organic Almond Extract, Certified Organic, 2-Ounce Container","['https://images-na.ssl-images-amazon.com/images/I/41exer7HLcL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41vvUQx%2BQjL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41xw4ucteOL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31h7K5OR%2BML._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41gJAGg9xaL._SS40_.jpg']",Simply Organic,4.46,B0000DI085
"[""Today, celestial seasonings is one of the largest specialty tea manufacturers in North America. We serve more than 1.6 billion cups of tea every year, and we source more than 100 different ingredients from over 35 countries to create our delicious, all-natural herbal, green, red, white, chai and wellness teas. But most importantly, we're still about people and passion. Packaging may vary."", 'This product is labelled to United States standards and may differ from similar products sold elsewhere in its ingredients, labeling and allergen warnings', 'Black tea, natural bergamot flavor with other natural flavors (contains soy lecithin).', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Celestial Seasonings Victorian Earl Grey Tea, 25 Count","['https://images-na.ssl-images-amazon.com/images/I/41dBZ0F76cL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41T4UOWIOrL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41t65U0h4aL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41xM0cPvIEL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41f-9J-CBuL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Wb2ltvP0L._SS40_.jpg']",Celestial Seasonings,5.43,B0000DI145
