overall,reviewerID,asin,reviewerName,unixReviewTime
4.0,A38NELQT98S4H8,0321719816,WB Halper,1287532800
4.0,A3QJU4FEN8PQSZ,0321719816,Grimmy,1287360000
5.0,ACJT8MUC0LRF0,0321719816,D. Fowler,1287187200
5.0,AYUF7YETYOLNX,0321719816,Bryan Newman,1286841600
5.0,A31ICLWQ9CSHRS,0321719816,Al Swanson,1286409600
5.0,A2BVNVJOFXGZUB,0321719816,J. Howard,1285459200
5.0,A2JMJVNTBL7K7E,0321719816,Yesuaini99,1302134400
5.0,A14JBDSWKPKTZA,0321719816,Bob Feeser,1294444800
5.0,A2WCFDOCS73PNB,0321719816,Gadgetman,1288224000
5.0,A14638TGYH7GD9,0321719816,Rebecca Haden,1288224000
3.0,A2VWE5SGNDS8HW,0321719816,tachi1,1287619200
5.0,A9ELHLPXF7JKD,0321700945,A. D. Lum,1287273600
5.0,A13700AF4X40YG,0321700945,Loves Books in MD,1286928000
5.0,A23E9QQHJLNGUI,0321700945,Bill Oterson,1286409600
5.0,A3T7V207KRDE2O,0321700945,SMXSteve,1285545600
5.0,A1GQRGB8FGSLIZ,0321700945,Amazon Customer,1305417600
3.0,A1E50L7PCVXLN4,0321700945,Colinda,1294531200
5.0,A10Y058K7B96C6,0321700945,midnight122,1291593600
5.0,A3V7D0LH8L7BG0,0321700945,Spike D.,1289779200
4.0,AGVWTYW0ULXHT,0321719824,Nate,1290816000
4.0,A3QJU4FEN8PQSZ,0321719824,Grimmy,1287619200
4.0,A31N0XY2UTB25C,0321719824,Stephanie Sullivan,1286668800
4.0,A2BLFCOPSMBOZ9,0321719824,Dave Edmiston,1296259200
4.0,A1S5G0CL6NZHM8,0615179088,James M,1397174400
5.0,A2V5M5EJPOD2IU,0615179088,David Bradshaw,1300838400
5.0,A306D2RZWTNZ5I,0615179088,Roberta Wright,1253577600
1.0,A24X9HGDWV2ZZH,0763855553,GGSM Mobile,1512518400
5.0,AHEZP9ACDYJII,0763855553,Mike M.,1498176000
1.0,A2WUYJJ7NPQ5H4,0763855553,Richard S.,1490918400
5.0,AEBC5HHLPWMLC,0763855553,Amazon-Jake,1487203200
1.0,A340ECSASO3LQV,0763855553,alexyakkavoo,1485475200
5.0,AXGLPF6X39874,0763855553,John,1464566400
5.0,AJK49DENMS2BT,0763855553,Richard E. J. Burke,1461801600
5.0,A3UI63EESKUYHU,0763855553,Amazon Customer,1460246400
4.0,A2W22F71SEOLYK,0763855553,R. Broderick,1451001600
5.0,AK8GQ08WTHW4G,0763855553,Jeff Switzer,1450051200
5.0,AE16WAPPF7GUA,0763855553,N2,1446854400
4.0,A1MRPX3RM48T2I,0763855553,Trenton Bennett,1446076800
5.0,A318IDAWJ9ZYAY,0763855553,Ariaceliz,1445990400
4.0,A17RBY97FPNKO7,0763855553,James,1445299200
1.0,A3NAKHGAT8QSJB,0763855553,MGhostSoft,1442275200
4.0,ANGGNFE8DXGYC,0763855553,Perspectech,1440892800
5.0,AAG3NRUUHI9C7,0763855553,pcs,1438905600
5.0,A2N4QZL8L2NVKX,0763855553,Jerome P. Wicker,1433289600
3.0,A1EMDSTJDUE6B0,0763855553,Randy Given,1430611200
5.0,A6M01NDCD957E,0763855553,James McDonald,1429660800
5.0,A3PAUB3M715CJC,0763855553,the Commish!!!,1427155200
1.0,AEC7B85GKPM0W,0763855553,G. Bell,1417478400
4.0,A2MV80H0EYK38N,0763855553,Talal Zraik,1417392000
5.0,A27QJQM1A0O8S6,0763855553,Billie R. Branscomb,1416268800
2.0,A29BGBRZPMLPZM,0763855553,Book Buyer,1414108800
5.0,A3K6VZ6XT8PZAU,0763855553,Mac Townsend,1401494400
5.0,A374KGFYENBQX4,0763855553,DrewNY001,1400630400
5.0,A22S7D0LP8GRDH,0763855553,Jacob and Kiki Hantla,1397692800
